Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"31/03/2022 10:30:18","31/03/2022","Calorific Value, LDZ(EA)","39.0000","31/03/2022 10:33:16",""
"31/03/2022 10:30:18","31/03/2022","Calorific Value, LDZ(EM)","39.2000","31/03/2022 10:33:16",""
"31/03/2022 10:30:18","31/03/2022","Calorific Value, LDZ(NE)","40.4000","31/03/2022 10:33:16",""
"31/03/2022 10:30:18","31/03/2022","Calorific Value, LDZ(NO)","40.3000","31/03/2022 10:33:16",""
"31/03/2022 10:30:18","31/03/2022","Calorific Value, LDZ(NT)","38.9000","31/03/2022 10:33:16",""
"31/03/2022 10:30:18","31/03/2022","Calorific Value, LDZ(NW)","39.5000","31/03/2022 10:33:16",""
"31/03/2022 10:30:18","31/03/2022","Calorific Value, LDZ(SC)","39.4000","31/03/2022 10:33:16",""
"31/03/2022 10:30:18","31/03/2022","Calorific Value, LDZ(SE)","38.6000","31/03/2022 10:33:16",""
"31/03/2022 10:30:18","31/03/2022","Calorific Value, LDZ(SO)","39.3000","31/03/2022 10:33:16",""
"31/03/2022 10:30:18","31/03/2022","Calorific Value, LDZ(SW)","39.1000","31/03/2022 10:33:16",""
"31/03/2022 10:30:18","31/03/2022","Calorific Value, LDZ(WM)","39.4000","31/03/2022 10:33:16",""
"31/03/2022 10:30:18","31/03/2022","Calorific Value, LDZ(WN)","39.9000","31/03/2022 10:33:16",""
"31/03/2022 10:30:18","31/03/2022","Calorific Value, LDZ(WS)","39.0000","31/03/2022 10:33:16",""
"31/03/2022 10:30:18","30/03/2022","Calorific Value, Campbeltown","38.8000","31/03/2022 10:33:16",""
"31/03/2022 10:30:18","30/03/2022","Calorific Value, LDZ(EA)","39.0000","31/03/2022 10:33:16",""
"31/03/2022 10:30:18","30/03/2022","Calorific Value, LDZ(EM)","39.4000","31/03/2022 10:33:16",""
"31/03/2022 10:30:18","30/03/2022","Calorific Value, LDZ(NE)","40.3000","31/03/2022 10:33:16",""
"31/03/2022 10:30:18","30/03/2022","Calorific Value, LDZ(NO)","40.3000","31/03/2022 10:33:16",""
"31/03/2022 10:30:18","30/03/2022","Calorific Value, LDZ(NT)","39.0000","31/03/2022 10:33:16",""
"31/03/2022 10:30:18","30/03/2022","Calorific Value, LDZ(NW)","39.9000","31/03/2022 10:33:16",""
"31/03/2022 10:30:18","30/03/2022","Calorific Value, LDZ(SC)","39.3000","31/03/2022 10:33:16",""
"31/03/2022 10:30:18","30/03/2022","Calorific Value, LDZ(SE)","38.7000","31/03/2022 10:33:16",""
"31/03/2022 10:30:18","30/03/2022","Calorific Value, LDZ(SO)","39.3000","31/03/2022 10:33:16",""
"31/03/2022 10:30:18","30/03/2022","Calorific Value, LDZ(SW)","39.0000","31/03/2022 10:33:16",""
"31/03/2022 10:30:18","30/03/2022","Calorific Value, LDZ(WM)","39.3000","31/03/2022 10:33:16",""
"31/03/2022 10:30:18","30/03/2022","Calorific Value, LDZ(WN)","39.9000","31/03/2022 10:33:16",""
"31/03/2022 10:30:18","30/03/2022","Calorific Value, LDZ(WS)","39.0000","31/03/2022 10:33:16",""
"31/03/2022 10:30:18","30/03/2022","Calorific Value, Oban","38.8000","31/03/2022 10:33:16",""
"31/03/2022 10:30:18","30/03/2022","Calorific Value, Stornoway","93.0000","31/03/2022 10:33:16",""
"31/03/2022 10:30:18","30/03/2022","Calorific Value, Stranraer","38.8000","31/03/2022 10:33:16",""
"31/03/2022 10:30:18","30/03/2022","Calorific Value, Thurso","38.8000","31/03/2022 10:33:16",""
"31/03/2022 10:30:18","30/03/2022","Calorific Value, Wick","38.8000","31/03/2022 10:33:16",""
"30/03/2022 16:00:07","29/03/2022","Calorific Value, LDZ(NO)","40.2000","30/03/2022 16:04:07",""
"30/03/2022 16:00:07","29/03/2022","Calorific Value, LDZ(SE)","38.8000","30/03/2022 16:04:07",""
"30/03/2022 16:00:07","27/03/2022","Calorific Value, LDZ(NE)","40.3000","30/03/2022 16:04:07",""
"30/03/2022 16:00:07","27/03/2022","Calorific Value, LDZ(SE)","38.8000","30/03/2022 16:04:07",""
"30/03/2022 10:30:23","30/03/2022","Calorific Value, LDZ(EA)","39.0000","30/03/2022 10:33:50",""
"30/03/2022 10:30:23","30/03/2022","Calorific Value, LDZ(EM)","39.5000","30/03/2022 10:33:50",""
"30/03/2022 10:30:23","30/03/2022","Calorific Value, LDZ(NE)","40.3000","30/03/2022 10:33:50",""
"30/03/2022 10:30:23","30/03/2022","Calorific Value, LDZ(NO)","40.2000","30/03/2022 10:33:50",""
"30/03/2022 10:30:23","30/03/2022","Calorific Value, LDZ(NT)","39.0000","30/03/2022 10:33:50",""
"30/03/2022 10:30:23","30/03/2022","Calorific Value, LDZ(NW)","39.2000","30/03/2022 10:33:50",""
"30/03/2022 10:30:23","30/03/2022","Calorific Value, LDZ(SC)","39.3000","30/03/2022 10:33:50",""
"30/03/2022 10:30:23","30/03/2022","Calorific Value, LDZ(SE)","38.7000","30/03/2022 10:33:50",""
"30/03/2022 10:30:23","30/03/2022","Calorific Value, LDZ(SO)","39.3000","30/03/2022 10:33:50",""
"30/03/2022 10:30:23","30/03/2022","Calorific Value, LDZ(SW)","39.1000","30/03/2022 10:33:50",""
"30/03/2022 10:30:23","30/03/2022","Calorific Value, LDZ(WM)","39.3000","30/03/2022 10:33:50",""
"30/03/2022 10:30:23","30/03/2022","Calorific Value, LDZ(WN)","40.0000","30/03/2022 10:33:50",""
"30/03/2022 10:30:23","30/03/2022","Calorific Value, LDZ(WS)","39.0000","30/03/2022 10:33:50",""
"30/03/2022 10:30:23","29/03/2022","Calorific Value, Campbeltown","38.8000","30/03/2022 10:33:50",""
"30/03/2022 10:30:23","29/03/2022","Calorific Value, LDZ(EA)","39.1000","30/03/2022 10:33:50",""
"30/03/2022 10:30:23","29/03/2022","Calorific Value, LDZ(EM)","39.4000","30/03/2022 10:33:50",""
"30/03/2022 10:30:23","29/03/2022","Calorific Value, LDZ(NE)","40.3000","30/03/2022 10:33:50",""
"30/03/2022 10:30:23","29/03/2022","Calorific Value, LDZ(NO)","40.3000","30/03/2022 10:33:50",""
"30/03/2022 10:30:23","29/03/2022","Calorific Value, LDZ(NT)","39.1000","30/03/2022 10:33:50",""
"30/03/2022 10:30:23","29/03/2022","Calorific Value, LDZ(NW)","39.9000","30/03/2022 10:33:50",""
"30/03/2022 10:30:23","29/03/2022","Calorific Value, LDZ(SC)","39.3000","30/03/2022 10:33:50",""
"30/03/2022 10:30:23","29/03/2022","Calorific Value, LDZ(SE)","38.7000","30/03/2022 10:33:50",""
"30/03/2022 10:30:23","29/03/2022","Calorific Value, LDZ(SO)","39.3000","30/03/2022 10:33:50",""
"30/03/2022 10:30:23","29/03/2022","Calorific Value, LDZ(SW)","39.1000","30/03/2022 10:33:50",""
"30/03/2022 10:30:23","29/03/2022","Calorific Value, LDZ(WM)","39.4000","30/03/2022 10:33:50",""
"30/03/2022 10:30:23","29/03/2022","Calorific Value, LDZ(WN)","40.1000","30/03/2022 10:33:50",""
"30/03/2022 10:30:23","29/03/2022","Calorific Value, LDZ(WS)","39.0000","30/03/2022 10:33:50",""
"30/03/2022 10:30:23","29/03/2022","Calorific Value, Oban","38.8000","30/03/2022 10:33:50",""
